id,game,img
1,3DO,https://cdn.thegamesdb.net/images/original//consoles/png48/3do-1336524121.png
2,Acorn Archimedes,https://cdn.thegamesdb.net/images/original//consoles/png48/acorn-archimedes-1446690349.png
3,Acorn Electron,https://cdn.thegamesdb.net/images/original//consoles/png48/acorn-electron-1468269141.png
4,Action Max,https://cdn.thegamesdb.net/images/original//consoles/png48/action_max.png
5,Amiga,https://cdn.thegamesdb.net/images/original//consoles/png48/amiga-1336524133.png
6,Amiga CD32,https://cdn.thegamesdb.net/images/original//consoles/png48/amiga-cd32-1447024303.png
7,Amstrad CPC,https://cdn.thegamesdb.net/images/original//consoles/png48/amstrad-cpc-1393097665.png
8,Android,https://cdn.thegamesdb.net/images/original//consoles/png48/4916-1393096477.png
9,APF MP-1000,https://cdn.thegamesdb.net/images/original//consoles/png48/apf_mp1000.png
10,Apple II,https://cdn.thegamesdb.net/images/original//consoles/png48/apple2-1446583849.png
11,Arcade,https://cdn.thegamesdb.net/images/original//consoles/png48/arcade-1336524196.png
12,Atari 2600,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-2600-1336524261.png
13,Atari 5200,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-5200-1393096687.png
14,Atari 7800,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-7800-1393096747.png
15,Atari 800,https://cdn.thegamesdb.net/images/original//consoles/png48/atari800-1446587367.png
16,Atari Jaguar,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-jaguar-1336524288.png
17,Atari Jaguar CD,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-jaguar-cd-1336524356.png
18,Atari Lynx,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-lynx-1393097977.png
19,Atari ST,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-st-1445259571.png
20,Atari XE,https://cdn.thegamesdb.net/images/original//consoles/png48/atari-xe-1393098372.png
21,Bally Astrocade,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
22,Casio PV-1000,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
23,Coleco Telstar Arcade,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
24,Colecovision,https://cdn.thegamesdb.net/images/original//consoles/png48/colecovision-1393096902.png
25,Commodore 128,https://cdn.thegamesdb.net/images/original//consoles/png48/c128-1446691445.png
26,Commodore 64,https://cdn.thegamesdb.net/images/original//consoles/png48/commodore-64-1393096937.png
27,Commodore VIC-20,https://cdn.thegamesdb.net/images/original//consoles/png48/commodore-vic20-1446691509.png
28,Dragon 32/64,https://cdn.thegamesdb.net/images/original//consoles/png48/dragon32-64-1449254358.png
29,Emerson Arcadia 2001,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
30,Entex Adventure Vision,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
31,Entex Select-a-Game,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
32,Epoch Cassette Vision,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
33,Epoch Super Cassette Vision,https://cdn.thegamesdb.net/images/original//consoles/png48/console_default.png
34,Fairchild Channel F,https://cdn.thegamesdb.net/images/original//consoles/png48/fairchild-1445261469.png
35,Famicom Disk System,https://cdn.thegamesdb.net/images/original//consoles/png48/fds-1445251188.png
36,FM Towns Marty,https://cdn.thegamesdb.net/images/original//consoles/png48/fmtowns-1444085037.png
